Song,Duration,Familiarity,Loudness,Tempo
Walk Like a Man,,,,
Chattanoogie Shoe-Shine Boy,,,,
Hot Diggity (Dog Ziggity Boom),,,,
A World Without Love,,,,
Harper Valley PTA,,,,
"Snow, Hey Oh",,,,
I Feel You,,,,
You Oughta Know,,,,
Soul Man,,,,
Chariots of Fire,,,,
Gimme! Gimme! Gimme! (A Man After Midnight),,,,
I Can't Wait,,,,
You'll Be in My Heart,,,,
Don't Forget to Remember,,,,
Sign Your Name,,,,
I Need a Girl (Part 1),,,,
Don't Stop,190.4,66.656,8.4,121.0
You Must Love Me,,,,
Virtual Insanity,,,,
Black & Tan Fantasy,,,,
Show Me Heaven,,,,
Because You're Mine,,,,
Get Down On It,,,,
I'm Leaving it (All) Up to You,,,,
Hazard,,,,
There You'll Be,,,,
On Our Own (Theme from 'Ghostbusters II'),,,,
Blinded By the Light,,,,
Shannon,,,,
Mam'selle,,,,
Ashes to Ashes,,,,
China Girl,,,,
Stop Stop Stop,,,,
Limbo Rock,159.3,51.441,6.0,105.0
Everything I Own,,,,
Boogie Woogie Bugle Boy,,,,
Love Lockdown,,,,
Rock 'n' Me,,,,
Mr Blue,,,,
Stuck in a Moment You Can't Get Out Of,,,,
Are You Gonna Go My Way?,,,,
Which Way You Goin' Billy?,,,,
Love Will Lead You Back,,,,
Sweet Hitch-Hiker,,,,
Moviestar,,,,
Tell Me Why,305.3,61.254,7.2,118.1
Saved By the Bell,,,,
Foolish Games,,,,
Fly Away,,,,
Head to Toe,,,,
Smooth Operator,298.9,77.149,6.4,119.9
Heartaches By the Number,,,,
Chasing Cars,269.0,81.832,6.6,106.0
My Generation,,,,
Turn Off the Light,,,,
Take The 'A' Train,,,,
Name,,,,
Walk Right Back,,,,
Earth Angel,,,,
Smile,38.3,40.043,16.0,107.2
Everybody's Talkin',,,,
The Lazy Song,,,,
Escape (The Pina Colada Song),,,,
I Want You to Want Me,,,,
Some of These Days,,,,
There'll Be Sad Songs (To Make You Cry),,,,
No Son of Mine,,,,
Don't Stop Movin',,,,
Thieves in the Temple,,,,
Lonely No More,193.5,63.355,13.3,120.6
If it Makes You Happy,,,,
Slow,,,,
Numb,,,,
Who knew,,,,
Heal the World,,,,
I Write Sins Not Tragedies,,,,
Young Turks,,,,
Somewhere Out There,,,,
Need You Now,,,,
Too Much,,,,
"Goodbye, My Love, Goodbye",,,,
Shiny Happy People,,,,
"Bad, Bad Leroy Brown",,,,
Young At Heart,,,,
I Want to Break Free,,,,
"It's Not Right, But It's OK",,,,
Waiting For Tonight,,,,
Blame it On the Rain,,,,
All 4 Love,,,,
Talking in Your Sleep,,,,
Desafinado (Slightly Out Of Tune),,,,
Congratulations,,,,
Walking Away,,,,
You're the Voice,,,,
Don't Know Why,,,,
I Love You,229.3,52.259,16.1,128.0
Cry Like a Baby,,,,
Separate Lives,,,,
Lonely Days,,,,
Good Morning Starshine,,,,
Larger Than Life,236.3,85.142,5.1,112.8
Be Bop a Lula,,,,
Wabash Cannonball,,,,
Intergalactic,,,,
Ooh Aah... Just a Little Bit,,,,
Go Let it Out,,,,
Charlie Brown,,,,
She Bangs,,,,
Glad You Came,,,,
Too Funky,,,,
I Will Come to You,,,,
Everyday is a Winding Road,,,,
When You Say Nothing At All,,,,
The Way You Move,,,,
El Paso,,,,
Hate That I Love You,,,,
The Hindu Times,,,,
I Wanna Be Loved By You,,,,
Fergalicious,,,,
Roses,209.0,76.777,5.9,153.8
All Along the Watchtower,,,,
Just Like a Pill,,,,
Good Time,,,,
Shattered Dreams,,,,
Do it Again,,,,
Ch-Check it Out,,,,
Deep in the Heart of Texas,,,,
Easy,,,,
Everything is Beautiful,,,,
Little Man,,,,
Lose Control,,,,
I Know,,,,
Crazy Blues,,,,
Spanish Harlem,130.6,56.727,14.7,101.2
You Really Got Me,,,,
All the Way,219.2,67.402,7.7,132.8
Pinetop's Boogie Woogie,,,,
Pied Piper,,,,
Take Five,,,,
Dead & Gone,,,,
Mr Roboto,,,,
Teenage Rampage,,,,
Stars & Stripes Forever,,,,
Disco Lady,,,,
S&M,,,,
Love On the Rocks,,,,
Pure Shores,,,,
Dub Be Good to Me,,,,
Whatever You Like,,,,
I Need to Know,,,,
Spill the Wine,,,,
Sweet About Me,,,,
Love Takes Time,,,,
Party In The U.s.a.,,,,
Da Doo Ron Ron (When He Walked Me Home),,,,
Song 2,135.0,37.402,6.2,137.0
Hangin' Tough,,,,
Wheels,,,,
Bulletproof!,,,,
Thanks For the Memory,,,,
Just the Two of Us,,,,
Clint Eastwood,,,,
Janie's Got a Gun,,,,
What is Life?,,,,
Red Light Special,,,,
Candy Man,239.6,56.728,9.3,172.4
Untouched,,,,
You Found Me,240.6,85.27,6.1,152.0
Mama,,,,
Cupid's chokehold (Breakfast in America),,,,
I'm On Fire,,,,
All This Time,,,,
Human Touch,,,,
One Week,,,,
Heartache Tonight,,,,
Stutter,,,,
Radar Love,,,,
Have I the Right,,,,
48 Crash,,,,
Sad Eyes,,,,
Walkin' Back to Happiness,,,,
Doctor Jones,,,,
April Showers,,,,
Love Somebody,,,,
One Bad Apple,,,,
Wanna Be Startin' Something,,,,
My Heart Tells Me (Should I Believe My Heart),,,,
Electrical Storm,,,,
Somebody to Love,,,,
Joanna,,,,
Take Good Care of My Baby,,,,
"Answer Me, Lord Above",,,,
Ride Wit Me,234.2,67.5,6.1,96.0
Our Day Will Come,,,,
Staring At the Sun,,,,
All the Small Things,,,,
In The Still Of The Nite (I'll Remember),,,,
Wonderful Tonight,,,,
You Gotta Be,,,,
May It Be,,,,
Don't Go,184.3,54.103,20.3,119.0
I'll Take You There,,,,
"Turn It Up, Fire It Up",,,,
Baby Don't Forget My Number,,,,
Desert Rose,,,,
Don't it Make My Brown Eyes Blue,,,,
Valleri,,,,
Dance to the Music,,,,
Mr Saxobeat,,,,
Wedding Bell Blues,,,,
The Streak,,,,
Free As a Bird,,,,
Vienna,231.1,85.27,8.1,124.5
The Heat is On,,,,
Rock the Casbah,,,,
Smooth Criminal,,,,
Ride On Time,,,,
It's Love-Love-Love,,,,
Keep it Comin' Love,,,,
Can't Fight This Feeling,,,,
Everything's Gonna Be Alright,,,,
"I Can't Help Myself (Sugar Pie, Honey Bunch)",,,,
Jet,,,,
For Your Love,,,,
Obsession,291.4,2.256,16.2,108.0
Millennium,,,,
Lady Godiva,,,,
This Kiss,,,,
On the Street Where You Live,,,,
Welcome to the Jungle,,,,
Get UR Freak On,,,,
Trippin',,,,
Come See About Me,,,,
Hot Love,,,,
Calcutta,,,,
Running Scared,,,,
Nutbush City Limits,,,,
Pray,,,,
Music Sounds Better With You,,,,
Sleep Walk,,,,
Ain't Misbehavin',,,,
I Love to Love,,,,
My Heart Cries For You,,,,
Shining Star,,,,
The Only Thing That Looks Good On Me is You,,,,
Basket Case,,,,
The Rain,,,,
I Know What You Want,,,,
Sandstorm,,,,
What's Luv?,,,,
Cradle of Love,,,,
96 Tears,,,,
I Write the Songs,,,,
Epic,,,,
Sundown,,,,
Day 'n' Nite,,,,
You're My Heart You're My Soul,,,,
Money,,,,
(Hey There) Lonely Girl,,,,
I Taut I Taw A Puddy Tat,,,,
All I Have to Give,,,,
Yester-Me Yester-You Yesterday,,,,
Jump Around,,,,
A Guy is a Guy,,,,
Bend Me Shape Me,,,,
Making Your Mind Up,,,,
He's a Rebel,,,,
Hot Child In The City,,,,
I Got 5 On It,,,,
Johnny Angel,,,,
Moonlight Becomes You,,,,
Invisible Touch,,,,
My Happiness,,,,
Love is a Wonderful Thing,,,,
Sing For the Moment,,,,
Strangelove,,,,
Linda,,,,
I Don't Wanna Go On With You Like That,,,,
Soak Up the Sun,,,,
('til) I Kissed You,,,,
Frankenstein,,,,
4 Seasons of Loneliness,,,,
Said I Loved You But I Lied,,,,
Won't Get Fooled Again,,,,
Golden Years,,,,
True Love,290.2,43.207,7.1,174.3
Teardrops,,,,
Walk On By,,,,
Melody of Love,,,,
Here We Go (Let's Rock & Roll),,,,
Paper Planes,,,,
Stars Are Blind,,,,
Brandy (You're A Fine Girl),,,,
St George & the Dragonette,,,,
Breakaway,,,,
Sussudio,,,,
Union of the Snake,,,,
Little Arrows,,,,
The Message,,,,
In Dreams,,,,
Cruising Down the River,,,,
Son of a Preacher Man,,,,
I'm Gonna Getcha Good!,,,,
Too Fat Polka (I Don't Want Her-You Can Have Her-She's Too Fat For Me),,,,
"Stay (Faraway, So Close!)",,,,
Tumbling Dice,,,,
Bad Medicine,,,,
Let Her Go,,,,
"Doctor, Lawyer, Indian Chief",,,,
Candida,,,,
To the Moon & Back,,,,
Nowhere Man,,,,
Naughty Girl,,,,
The Way,368.1,52.875,12.2,58.4
You Don't Know My Name,,,,
Run This Town,,,,
Whispering Grass (Don't Tell the Trees),,,,
Precious,,,,
Thank God I'm a Country Boy,,,,
Give Peace a Chance,,,,
Love Bites,,,,
Something's Gotten Hold of My Heart,,,,
Forever Young,,,,
Vincent (Starry Starry Night),,,,
Evacuate The Dancefloor,,,,
Swear it Again,,,,
Holiday,,,,
'A' You're Adorable (the Alphabet Song),,,,
2 Hearts,,,,
"Bills, Bills, Bills",,,,
Shoop,,,,
Lady Willpower,,,,
Blue Monday,,,,
Hands,,,,
Tired of Toein' The Line,,,,
Get Ready,,,,
Right Thurr,,,,
When I Think of You,,,,
Shoo-Shoo Baby,,,,
I Got Stung,,,,
Lovegame,,,,
Hard Knock Life,,,,
Long Train Runnin',,,,
Ramona,,,,
Three O'Clock in The Morning,,,,
Lovesick Blues,,,,
Straighten Up & Fly Right,,,,
Down Down,,,,
"Seemann, deine Heimat ist das Meer",,,,
Don't,,,,
TROUBLE,,,,
Ladies Night,,,,
Galvanize,,,,
It's Alright,213.2,51.203,13.4,71.2
It Doesn't Matter Anymore,,,,
I'll Never Find Another You,146.0,50.352,15.9,144.5
Take a Look Around,,,,
Ain't That a Shame,,,,
Walk On,,,,
Hooked On a Feeling,,,,
Me & U,,,,
Sex Bomb,,,,
You Don't Have to Be a Star (To Be in My Show),,,,
Love Hangover,,,,
Patches,,,,
Should I Stay Or Should I Go,,,,
Dip it Low,,,,
Bread & Butter,,,,
California Girls,,,,
Pony Time,,,,
I'll Get By (As Long As I Have You),,,,
Sometimes You Can't Make it On Your Own,,,,
So Much in Love,,,,
Too Much Too Little Too Late,,,,
She Wolf,,,,
Simply Irresistible,,,,
One Wild Night,,,,
Chapel of Love,,,,
Before The Next Teardrop Falls,,,,
Jeopardy,,,,
Water Runs Dry,,,,
I'm Walkin',,,,
Toot Toot Tootsie (Goodbye),,,,
Dolannes-Melodie,,,,
The Things We Do For Love,,,,
Green Door,,,,
"Damn, I Wish I Was Your Lover",,,,
Naughty Lady of Shady Lane,,,,
If I Ever Fall in Love,,,,
China in Your Hand,,,,
Needles & Pins,,,,
Have a Nice Day,,,,
Morning Has Broken,170.3,18.425,12.7,105.0
The Love You Save,,,,
You've Made Me So Very Happy,,,,
It's Not Unusual,139.5,58.883,12.0,113.6
From Me to You,,,,
Aline,,,,
I'm Still Standing,,,,
The Closer I Get To You,,,,
Hold Me Tight,,,,
She Bop,,,,
Smalltown Boy,,,,
Shop Around,,,,
Telephone Line,,,,
Set Fire To The Rain,,,,
Hold Me Now,,,,
A Boy Named Sue,216.8,81.726,6.0,115.6
All My Loving,188.0,18.867,11.5,103.4
Back & Forth,,,,
Question,,,,
Raise Your Glass,,,,
Stop the Cavalry,,,,
"Leaving, on a Jet Plane",,,,
Please Don't Tease,,,,
The Best Things in Life Are Free,,,,
Forever & Ever,,,,
Walk Right In,,,,
Never Ending Story,,,,
The Young Ones,,,,
This Diamond Ring,,,,
Coming Home,,,,
If I Ain't Got You,231.2,93.392,8.4,118.3
Sick & Tired,,,,
Happy Xmas (War is Over),,,,
Southern Nights,,,,
My Boyfriend's Back,,,,
Daydream,,,,
Gimme Little Sign,,,,
You Belong With Me,,,,
Eye in the Sky,,,,
You Came,,,,
Mother & Child Reunion,,,,
So Tired,,,,
Tell Her About It,,,,
Little Lies,,,,
Sweetest Girl (dollar Bill),,,,
Pick Up the Pieces,,,,
Mirrors,,,,
Let's Go Crazy,,,,
Back At One,,,,
Summer of '69,,,,
Some Nights,,,,
Shame,205.5,61.258,6.7,143.9
Black Night,210.1,50.711,5.1,141.6
Laughter in the Rain,,,,
Quarter to Three,,,,
Howzat,,,,
Guilty,,,,
All The Right Moves,,,,
Rock Me Gently,,,,
Where Do You Go to My Lovely?,,,,
Borderline,,,,
Black & White,252.9,57.083,11.2,114.0
Fighter,,,,
Murder On the Dancefloor,,,,
The Twist (Yo Twist),,,,
I Love the Nightlife,,,,
Shake Down,,,,
Like Toy Soldiers,,,,
You Won't See Me Cry,,,,
Got to Give it Up,,,,
Am I Blue?,,,,
Angel of Harlem,,,,
I Adore Mi Amor,,,,
Loverboy,,,,
Dare,,,,
One Day in Your Life,,,,
Continental (you Kiss While You're Dancing),,,,
Fill Me In,,,,
Anytime You Need a Friend,,,,
So Hard,,,,
Wavin' Flag,,,,
Hungry Heart,,,,
Here I Go Again,,,,
Lips of An Angel,,,,
Now & Forever,,,,
Never Knew Love Like This Before,,,,
Word Up,,,,
Everybody's Changing,,,,
Too Little Too Late,,,,
Deeper & Deeper,,,,
No Rain,,,,
Wayward Wind,,,,
I Touch Myself,,,,
Sweet Soul Music,,,,
Cleanin' Out My Closet,,,,
Son of My Father,,,,
Witch Doctor,,,,
Purple Haze,153.7,42.185,17.5,113.8
Superfly,,,,
Zwei kleine Italiener,,,,
Feel Like Making Love,,,,
"The Rain, The Park & Other Things",,,,
Ten Cents a Dance,,,,
Tonight (I'm F**kin' You),,,,
Wish You Were Here,,,,
Honky Tonk,,,,
7 Days,,,,
Hold the Line,,,,
Blue Bayou,,,,
Don't Pull Your Love,,,,
When You're Gone,,,,
Will You Be There?,,,,
Hate it Or Love It,,,,
I Fall to Pieces,,,,
A Teenager in Love,,,,
Bits & Pieces,,,,
Didn't We Almost Have it All,,,,
Greenfields,,,,
Rock On,,,,
The Wonder of You,,,,
Me & You & a Dog Named Boo,,,,
Ready Or Not,,,,
Looking For a New Love,,,,
Hold On My Heart,,,,
100% Pure Love,,,,
If You Asked Me To,,,,
Where Have All the Cowboys Gone?,,,,
January,,,,
Yeah 3x,,,,
Heart & Soul,,,,
I Don't Want Your Love,103.5,49.491,7.4,107.0
Is There Something I Should Know?,,,,
Head Over Feet,,,,
Reet Petite,,,,
You Got It,,,,
Where the Boys Are,,,,
Summer Night City,,,,
Caravan,,,,
Hypnotize,,,,
Surfin' USA,,,,
It's Not For Me to Say,,,,
Bossa Nova Baby,,,,
Voyage Voyage,,,,
Theme From 'SExpress',,,,
Goodnight Tonight,,,,
Amazing,266.9,80.03,6.7,128.4
Hurting Each Other,,,,
Can't Nobody Hold Me Down,,,,
Steal My Sunshine,,,,
It Ain't Over 'till It's Over,,,,
Solid,,,,
Canned Heat,,,,
My Truly Truly Fair,,,,
Happy Jack,,,,
"Baby, Now That I've Found You",,,,
Give Me Love (Give Me Peace On Earth),,,,
She's All I Ever Had,295.3,73.096,5.7,161.9
21 Questions,,,,
Missing You,217.8,53.444,4.5,161.9
Love of the Common People,,,,
The Loveliest Night Of The Year,,,,
Ti Amo,,,,
Knockin' On Heaven's Door,,,,
Mixed Emotions,,,,
Anything For You,,,,
Love At First Sight,,,,
Candy,,,,
Beautiful Life,,,,
Rhiannon (Will You Ever Win),,,,
Killer Queen,,,,
Yellow,,,,
We Like to Party!,,,,
Private Eyes,,,,
"For What It's Worth (Stop, Hey What's That Sound)",,,,
I'm So Lonesome I Could Cry,,,,
Soldier Boy,,,,
Imitation of Life,,,,
Have You never Been Mellow?,,,,
Travellin' Light,,,,
Whip It,199.2,55.936,9.7,150.1
Twisted,,,,
Just a Girl,,,,
Weak,,,,
Ca Plane Pour Moi,,,,
Make Me Smile (Come Up & See Me),,,,
Black Horse & the Cherry Tree,,,,
Could I Have This Kiss Forever,,,,
Dolores,194.8,35.45,18.7,71.3
Maid of Orleans (The Waltz Joan of Arc),,,,
Come Softly to Me,,,,
Ole Buttermilk Sky,,,,
A Mess of Blues,,,,
Circle of Life,,,,
Down By the Lazy River,,,,
Just Can't Get Enough,,,,
Conga,,,,
I'm a Big Girl Now,,,,
Euphoria,,,,
Undercover Angel,,,,
Sweet Little Sixteen,200.0,48.916,5.1,180.7
Time of Your Life (Good Riddance),,,,
Ol' Man River,,,,
Foolish Beat,,,,
Far Away,,,,
Sexy Eyes,,,,
I Believe in a Thing Called Love,,,,
Ha Ha Said the Clown,,,,
"Managua, Nicaragua",,,,
Listen,236.5,44.418,14.2,91.2
Singin' the Blues,,,,
Hurt So Good,,,,
Ballad of Davy Crockett,,,,
Careless Hands,,,,
Goody Two Shoes,203.0,63.038,3.4,95.7
Reality,,,,
Rockit,,,,
Return to Me,,,,
Typical Male,,,,
Slow Hand,,,,
Follow You Follow Me,,,,
I'm a Slave 4 U,,,,
Heaven For Everyone,,,,
Rock a Hula Baby,,,,
Living in America,,,,
Sunshine On My Shoulders,,,,
The Peanut Vendor,,,,
Wildwood Flower,,,,
Fields of Gold,,,,
Downtown Train,,,,
Something Happened On the Way to Heaven,,,,
Looking Through Patient Eyes,,,,
You Are So Beautiful,,,,
Bust a Move,,,,
Why?,225.4,48.434,4.8,199.9
Hallelujah,200.2,38.148,11.2,108.9
Come As You Are,,,,
Layla (Unplugged),,,,
Sweet Dreams (Ola ola e),,,,
Suburbia,,,,
I Got You (I Feel Good),,,,
"Friday, I'm in Love",,,,
The Trolley Song,,,,
Everybody Have Fun Tonight,,,,
Holiday Rap,,,,
Sonny Boy,,,,
When I See You Smile,,,,
Under the Boardwalk,,,,
I Don't Know Why (But I Do),,,,
Wrapped Around Your Finger,313.7,79.037,14.4,85.2
My Way,264.6,57.942,6.1,76.4
Where Them Girls At,,,,
For Me & My Gal,,,,
Rhythm Nation,,,,
My Coo-Ca-Choo,,,,
Love... Thy Will Be Done,,,,
Don't Cry Daddy,,,,
My Name Is,,,,
Drowning,,,,
Anytime,,,,
The Best of Times,,,,
Sexy Love,,,,
Diggin' On You,,,,
Brick House,,,,
To All the Girls I've Loved Before,,,,
On Top of Old Smokey,,,,
The Little White Cloud that Cried,,,,
When I Grow Up,359.4,71.378,6.6,122.9
Sweet Pea,,,,
"Right Now (Na, Na, Na)",,,,
Sister Golden Hair,,,,
Man On the Moon,,,,
Mr Big Stuff,,,,
You Don't Know,,,,
Nightshift,,,,
Up Up & Away,,,,
Some Girls,,,,
Undercover of the Night,,,,
Mad World,,,,
Objection (Tango),224.5,85.732,5.8,179.5
No Ordinary Love,,,,
Sex & Candy,,,,
Monkey,,,,
Piano Concerto in B Flat,,,,
We Got The Beat,,,,
All of Me,,,,
19-2000,,,,
Lady (You Bring Me Up),,,,
Stole,,,,
Cool,,,,
Chequered Love,,,,
Rise,306.8,45.074,6.4,91.1
Half-breed,,,,
Still,263.9,52.02,19.8,76.7
Absolute Beginners,,,,
Old Man & Me (When I Get To Heaven),,,,
Mouldy Old Dough,,,,
Jumpin' Jumpin',,,,
Morgen,,,,
Cisco Kid,,,,
I Like to Move It,,,,
Gangsta Lovin',,,,
Dark Lady,,,,
Both Sides of the Story,,,,
It's Still Rock 'n' Roll to Me,,,,
Wasted Days & Wasted Nights,,,,
Eyes Without a Face,,,,
Chain of Fools,,,,
My Favourite Mistake,,,,
Swingin' Down the Lane,,,,
Dragnet,,,,
Window In The Skies,,,,
Especially For You,,,,
Hard Headed Woman,,,,
If I Knew You Were Comin' I'd Have Baked a Cake,,,,
I Should Have Known Better,,,,
(It's No) Sin,,,,
Kissing a Fool,,,,
Let Me Go Lover,,,,
(Can't Live Without Your) Love & Affection,,,,
Time (Clock of the Heart),,,,
Uncle Albert (Admiral Halsey),,,,
Oh! What it Seemed to Be,,,,
Fortunate Son,,,,
(Is This the Way To) Amarillo,,,,
Good Lovin',,,,
I'm Telling You Now,,,,
Poison,,,,
Nobody's Home,,,,
Fantastic Voyage,,,,
"Wheels (Vier Schimmel, ein Wagen)",,,,
The Birds & the Bees,,,,
I am a Rock,,,,
Charleston,,,,
I'd Lie For You (And That's the Truth),,,,
Theme From 'Greatest American Hero' (Believe It Or Not),,,,
Ruby,,,,
To Know Him is to Love Him,,,,
It's Almost Tomorrow,,,,
Music Box Dancer,,,,
I Can't Get Next to You,,,,
Stacy's Mom,,,,
The Night They Drove Old Dixie Down,,,,
Just When I Needed You Most,,,,
Pretty Flamingo,,,,
If You Love Me,247.7,50.693,6.0,132.9
Rose Marie,,,,
Sweet Caroline (Good Times Never Seemed So Good),,,,
I'll Be Loving You (Forever),,,,
Someone to Call My Lover,,,,
Glamorous,,,,
Tiger Feet,,,,
Behind Closed Doors,,,,
Elevation,,,,
Ball of Confusion (That's What the World is Today),,,,
Bye Bye Baby,,,,
Free Electric Band,,,,
The Climb,,,,
Theme From 'New York New York',,,,
Conquest of Paradise,,,,
The Breeze & I,,,,
Im Nin'Alu,,,,
I'm Gonna Knock On Your Door,,,,
See You in September,,,,
March From The River Kwai,,,,
Move On Up a Little Higher,,,,
Lay Back in the Arms of Someone,,,,
Grease Megamix,,,,
The First Night,,,,
He Loves U Not,,,,
Do You Want To?,,,,
Get a Life,,,,
"Baby, Come to Me",,,,
Angel of Mine,,,,
See You Later Alligator,193.8,48.145,11.0,137.4
Kryptonite,,,,
Summertime,,,,
Confessions Part II,,,,
Lay Down (Candles in The Rain),,,,
New Sensation,214.5,81.832,14.3,115.0
What Have You Done For Me Lately,,,,
(You're My) Soul & Inspiration,,,,
Candyman,,,,
"Baby, Baby, Baby",,,,
Reflections of My Life,,,,
Wichita Lineman,,,,
Shut Up & Drive,,,,
The Edge Of Glory,,,,
We R Who We R,,,,
Make it With You,,,,
I Remember You,,,,
You Made Me Love You (I Didn't Want to Do It),,,,
Wig-Wam Bam,,,,
People,,,,
A Girl Like You,,,,
Long Fellow Serenade,,,,
The Next Time,,,,
I Walk the Line,,,,
I'll Be Home,,,,
Doctor's Orders,,,,
Touch Me (All Night Long),,,,
Somebody Told Me,,,,
Chances Are,,,,
Sing,,,,
Pink Cadillac,,,,
"What's the Frequency, Kenneth?",,,,
Gonna Fly Now (Theme From 'Rocky'),,,,
Escape,,,,
Tribal Dance,,,,
Everybody's Got to Learn Sometime,,,,
Don't Forbid Me,,,,
Oh Well (Part 1),,,,
Because They're Young,,,,
I Ran (So Far Away),,,,
Listen to the Music,,,,
Nasty,,,,
Queen of Hearts,,,,
Rock Wit U (Awww Baby),,,,
Dirty Laundry,,,,
Play,211.6,87.712,1.8,104.8
Stop,,,,
Pop,,,,
Living For the City,,,,
If I Didn't Care,,,,
These Eyes,,,,
I Don't Want to Set the World On Fire,,,,
Waterloo Sunset,,,,
Keep the Faith,,,,
On the Road Again,,,,
Hey You,,,,
Angelia,,,,
Dust in the Wind,,,,
All Or Nothing,303.2,48.93,6.3,85.0
Lights,,,,
Don't Sit Under the Apple Tree (With Anyone Else But Me),,,,
Who Can it Be Now?,,,,
Mr Brightside,,,,
Kodachrome,,,,
Lovestoned,,,,
Two To Make It Right,,,,
Ghetto Gospel,,,,
Days Of Wine & Roses,,,,
Here Comes the Rain Again,,,,
Crank That (soulja Boy),,,,
Up On the Roof,,,,
Cocktails For Two,,,,
Hope of Deliverance,,,,
Chain Reaction,,,,
Devil Inside,,,,
The Smurf Song,,,,
Love You Inside Out,,,,
Big City Life,,,,
Adia,,,,
Dream On,,,,
Action,,,,
Gotta Get Thru This,,,,
Cold Hearted,,,,
Unskinny Bop,,,,
For the First Time,,,,
Garden Party,,,,
Sky High,,,,
Shambala,,,,
The Boys Are Back in Town,,,,
Paradise,272.0,77.149,8.2,80.3
With Arms Wide Open,,,,
Heat of the Moment,,,,
And When I Die,,,,
Will It Go Round In Circles,,,,
Beautiful Soul,,,,
PIMP,,,,
I Say a Little Prayer,,,,
Got 'Til It's Gone,,,,
Rain,,,,
I Got You,,,,
The War Song,,,,
I Just Wanna Stop,,,,
"Skweeze Me, Pleeze Me",,,,
God Only Knows,,,,
Touch Me in the Morning,,,,
Better Off Alone,,,,
Pour Some Sugar On Me,,,,
It's a Man's Man's Man's World,,,,
Without Love (There Is Nothing),,,,
Dear Mama,,,,
Walking On Sunshine,,,,
You Are My Sunshine,,,,
On The Radio,,,,
Dancing in the City,,,,
I Believe in You & Me,,,,
Killer,,,,
A Lover's Concerto,,,,
Ain't That Just The Way (That Love Goes Down),,,,
Barracuda,,,,
Walking to New Orleans,,,,
Hey Mr DJ,,,,
Dream Baby (How Long Must I Dream),,,,
With You I'm Born Again,,,,
What About Us,,,,
Love Machine,,,,
Neanderthal Man,,,,
She Blinded Me With Science,223.5,64.135,10.8,128.6
Every Rose Has It's Thorn,,,,
The Tracks of My Tears,,,,
Accidentally in Love,,,,
Deep Purple,,,,
All Kinds of Everything,,,,
25 Or 6 to 4,,,,
Soldier,,,,
Hello It's Me,,,,
Heartless,175.3,79.702,4.5,60.3
Dolce Vita,,,,
Pumped Up Kicks,,,,
The Very Thought of You,,,,
These Dreams,,,,
Blowin' in the Wind,,,,
Love in Bloom,,,,
Today Was A Fairytale,,,,
Everyday People,,,,
Give It 2 Me,,,,
A Little More Love,,,,
Black Betty,239.1,56.597,8.7,114.1
Beggin',,,,
Secrets,241.9,54.673,8.1,172.2
Leave Me Alone (Ruby Red Dress),,,,
Tonight I Celebrate My Love,,,,
I Can't Dance,,,,
In the Army Now,,,,
Little Star,,,,
Don't Take It Personal (Just One Of Dem Days),,,,
Break My Stride,,,,
Oh Babe What Would You Say?,,,,
Love Will Tear Us Apart,,,,
All Alone am I,,,,
Bachelor Boy,,,,
Do You Remember?,,,,
Deeper Underground,,,,
Sealed With a Kiss,,,,
Intuition,,,,
Yes! We Have No Bananas,,,,
Someone Saved My Life Tonight,,,,
Raindrops,,,,
Devil Woman,,,,
State of Shock,,,,
She's Like the Wind,,,,
Drift Away,,,,
Behind These Hazel Eyes,,,,
Bump Bump Bump,,,,
GI Jive,,,,
Causing a Commotion,,,,
A Blossom Fell,,,,
I Like Chopin,,,,
Another Sad Love Song,,,,
Don't Forget Me (When I'm Gone),,,,
Only Wanna Be With You,,,,
Elenore,,,,
Alley-oop,,,,
Daddy's Little Girl,,,,
Apres Toi,,,,
Never Forget,,,,
Kiss Of Fire,,,,
More,357.6,74.08,10.9,114.3
The Twelfth of Never,,,,
If You Wanna Be Happy,,,,
Tattoo,,,,
Freebird,,,,
Banjo Boy,,,,
Always On Time,,,,
Cheri Cheri Lady,,,,
Stronger (What Doesn't Kill You),,,,
Free Your Mind,,,,
Gasolina,,,,
Telegram Sam,,,,
Can't Let Go,,,,
Freeze-Frame,,,,
Poor People of Paris,,,,
People Are People,,,,
Barbados,,,,
Amazed,,,,
Betcha By Golly Wow,,,,
Come Back to Me,,,,
Chantilly Lace,,,,
Theme From 'Exodus',,,,
The Rose,,,,
In the Blues of the Evening,,,,
Fool (If You Think It's Over),,,,
I'll Stand By You,,,,
Hall Of Fame,,,,
Never Marry a Railroad Man,,,,
I Want Your Love,,,,
Love is the Drug,,,,
Rhythm Divine,,,,
Tumbling Tumbleweeds,,,,
Come & Get It,,,,
DJ got us fallin' in love,,,,
Mr Wendal,,,,
Me & My Shadow,,,,
Miami,,,,
The Sweetest Taboo,,,,
Why Don't You Get a Job?,,,,
Imma be,,,,
Wonderful,,,,
I Get Weak,,,,
Ay-Round The Corner (Bee-Hind The Bush),,,,
Sorry Suzanne,,,,
Domino,240.5,58.976,8.5,91.4
Artistry in Rhythm,,,,
Anybody Seen My Baby,,,,
Turn The Beat Around,,,,
I Can Dream About You,,,,
Someday We'll Be Together,,,,
Miami Vice Theme,,,,
Talk,132.6,38.629,11.6,88.5
What's Left Of Me,,,,
A Little Respect,,,,
Shine a Little Love,,,,
